index,bill_popularity,weeks_ranked,average_rank,year_first_appear,year_last_appear,decade,duration,key_song,loudness,mode,tempo,time_signature,Last_Position,number_1s,weeks_at_number_1,chart_appearances,speed_general,gnr_Blues,gnr_Country,gnr_Folk,gnr_Funk,gnr_House Electronic Trance,gnr_Jazz,gnr_Latin,gnr_Metal,gnr_Pop,gnr_Pop Standards,gnr_Punk,gnr_Rap Hip Hop,gnr_Rhythm and Blues,gnr_Rock,gnr_Rock and Roll,gnr_Ska Reggae Dancehall,is_top10,is_top40
0,0.392414418,0.00593785,0.008777691,0.511945916,0.512204083,0.511171413,0.073835871,0,-0.00211878,0.000258167,0.03114996,0.000774502,0.024009566,0.001290837,0.00593785,0.228994467,0.000774502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,0.412978957,0.007690483,0.011792075,0.508597301,0.508597301,0.507571903,0.061011168,0.001025398,-0.001514,0,0.030733222,0.001025398,0.024096848,0.003076193,0.008203182,0.219691475,0.000512699,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0.299405944,0.005623904,0.012586833,0.531057233,0.531325038,0.530253818,0.098552225,0.002410245,-0.001623166,0,0.030961735,0.00107122,0.023566836,0.00321366,0.008569759,0.22950885,0.00053561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.42913113,0.006685087,0.009256274,0.510123524,0.510380643,0.509095049,0.071736121,0.000257119,-0.00223359,0.000257119,0.028989363,0.001028475,0.02391204,0.001799831,0.002828306,0.168926994,0.000514237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0.417955641,0.005937603,0.0077447,0.511150198,0.511408354,0.511150198,0.100164786,0.002581567,-0.003565402,0,0.033865766,0.001032627,0.02128267,0.001807097,0.002839723,0.169608929,0.00077447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,0.38666225,0.005516241,0.007880345,0.521416145,0.521678823,0.520102754,0.066457574,0.000788034,-0.003386972,0,0.022923398,0.001050713,0.021655426,0.001838747,0.00288946,0.17257955,0.000525356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,0.367544248,0.005064061,0.007196298,0.526129329,0.526129329,0.525063211,0.054105498,0.002665295,-0.002977135,0,0.027323543,0.001066118,0.021972939,0.001865707,0.002931825,0.175109914,0.000533059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,0.464259485,0.006273777,0.006524728,0.497635977,0.50541546,0.496883124,0.096114261,0.00225856,-0.001264292,0,0.029369306,0.001003804,0.018319428,0.002760462,0.007528532,0.152327301,0.000501902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
8,0.457883054,0.006118705,0.006373651,0.504538176,0.504793122,0.502243661,0.052008988,0.002804406,-0.00153707,0.000254946,0.029203302,0.001019784,0.019375898,0.002804406,0.007648381,0.154752235,0.000509892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
9,0.348633281,0.005623117,0.010175165,0.529911876,0.529911876,0.527501969,0.098270671,0.002945442,-0.001130514,0.000267767,0.031927257,0.00107107,0.023295772,0.002945442,0.008033025,0.162534871,0.000535535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
